State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
Mississippi,Rankin,0.1171922935329488,0.043656980864635,4.3656980864635,11.71922935329488,7.3535312668313795,"- **Rankin, Mississippi**: +7.4% (from 4.4% to 11.7%)"
Mississippi,Madison,0.1012412902034977,0.0408400315941086,4.084003159410861,10.12412902034977,6.040125860938909,"- **Madison, Mississippi**: +6.0% (from 4.1% to 10.1%)"
Louisiana,Tangipahoa,0.1499956773580012,0.0911740963315095,9.117409633150949,14.99956773580012,5.882158102649171,"- **Tangipahoa, Louisiana**: +5.9% (from 9.1% to 15.0%)"
Louisiana,Jefferson,0.1313472762645914,0.0772169840389474,7.721698403894741,13.134727626459139,5.413029222564398,"- **Jefferson, Louisiana**: +5.4% (from 7.7% to 13.1%)"
Louisiana,Ouachita,0.1740760842749296,0.1284687514874577,12.84687514874577,17.40760842749296,4.56073327874719,"- **Ouachita, Louisiana**: +4.6% (from 12.8% to 17.4%)"
Hawaii,Maui,0.0441622553976089,0.0093788027186655,0.9378802718665501,4.41622553976089,3.47834526789434,"- **Maui, Hawaii**: +3.5% (from 0.9% to 4.4%)"
Virginia,Albemarle,0.0652229560231403,0.0336521064874644,3.3652106487464404,6.5222956023140295,3.157084953567589,"- **Albemarle, Virginia**: +3.2% (from 3.4% to 6.5%)"
Louisiana,Calcasieu,0.171188475390156,0.1398432611222026,13.984326112220261,17.1188475390156,3.13452142679534,"- **Calcasieu, Louisiana**: +3.1% (from 14.0% to 17.1%)"
South Carolina,Sumter,0.0643231114435303,0.0401624548736462,4.016245487364619,6.432311144353029,2.41606565698841,"- **Sumter, South Carolina**: +2.4% (from 4.0% to 6.4%)"
Maryland,Baltimore City,0.1004456774214729,0.0763400241957385,7.63400241957385,10.04456774214729,2.41056532257344,"- **Baltimore City, Maryland**: +2.4% (from 7.6% to 10.0%)"
Florida,Marion,0.0489573593685446,0.0256941798704645,2.56941798704645,4.89573593685446,2.32631794980801,"- **Marion, Florida**: +2.3% (from 2.6% to 4.9%)"
